Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
1/9/2015,Port Loko,Marampa,Marampa,Makomp,NA,NA,17,NA,NA,20,1,1,2,2,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Port Loko,Marampa,Fore Road Baka,Kelly Street,NA,NA,NA,NA,NA,NA,1,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,Port Loko,Marampa,Fore Road Baka,Dawson Cross,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Port Loko,Marampa,Fore Road Baka,Saccoh Street,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2015,Port Loko,Marampa,Fore Road Baka,Guadalupa Street,NA,NA,NA,NA,NA,15,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Port Loko,Marampa,Path Bana,Barracks Area,NA,NA,17,NA,NA,15,0,1,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,Port Loko,Marampa,Path Bana,Brima Lane,NA,NA,17,NA,NA,15,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Port Loko,Marampa,Path Bana,Fofanah Street,NA,NA,NA,NA,NA,15,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2015,Port Loko,Marampa,Path Bana,Ernest Bai Koroma Street,NA,NA,17,NA,NA,14,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Port Loko,Marampa,Technical,Technical Square,NA,NA,10,NA,NA,15,1,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1/8/2015,Port Loko,Marampa,Technical,Banana Street,NA,NA,12,NA,NA,15,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Port Loko,Marampa,Technical,Bundu Sreet,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2015,Port Loko,Marampa,Technical,Malton Street,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Port Loko,Marampa,Mange,Mamasa,NA,NA,NA,NA,NA,NA,1,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,Port Loko,Marampa,Mange,Ro Faka,NA,NA,22,NA,NA,18,1,2,2,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Port Loko,Marampa,Mange,Matenneh,NA,NA,20,NA,NA,15,1,2,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2015,Port Loko,Marampa,Mange,Maloko,NA,NA,NA,NA,NA,NA,1,2,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Port Loko,Marampa,Malua Rolankonoh,Mashokoh,NA,NA,17,NA,NA,14,2,1,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,Port Loko,Marampa,Malua Rolankonoh,Masabana,NA,NA,8,NA,NA,15,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1/9/2015,Port Loko,Marampa,Malua Rolankonoh,Malue Village,NA,NA,NA,NA,NA,NA,2,2,2,0,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1/10/2015,Port Loko,Marampa,Malua Rolankonoh,Malingeneh,NA,NA,NA,NA,NA,NA,2,2,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1/7/2015,Port Loko,Marampa,Rogballan,Royan,NA,NA,9,NA,NA,15,2,2,1,1,1,0,3,3,1,3,4,2,1,3,4,3,1,3,3,3,1,3,3,0,0,0,0
1/8/2015,Port Loko,Marampa,Rogballan,Mayanoh ,NA,NA,9,NA,NA,15,2,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Port Loko,Marampa,Rogballan,Rolal,NA,NA,NA,NA,NA,NA,2,1,1,0,1,0,4,2,1,3,5,2,1,3,5,2,1,3,5,2,1,3,5,0,0,0,0
1/10/2015,Port Loko,Marampa,Rogballan,Makutheneh,NA,NA,9,NA,NA,15,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Port Loko,Marampa,Mabai,Siaka Steven Street,NA,NA,NA,NA,NA,15,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,Port Loko,Marampa,Mabai,Kagbalay,NA,NA,9,NA,NA,15,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Port Loko,Marampa,Mabai,Mabla,NA,NA,NA,NA,NA,NA,2,2,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2015,Port Loko,Marampa,Mabai,Mabockarie,NA,NA,14,NA,NA,15,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Port Loko,Marampa,Madigbo,Munu Street,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
