Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
2014-12-10,Moyamba,Kori,Vaama,Kangahun,,,30.0,,,20.0,2.0,1.0,3.0,0.0,2.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Moyamba,Fakunya,Kunyafoi,Kotihun,,,12.0,,,24.0,2.0,1.0,1.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Moyamba,Fakunya,Kunyafoi,Kpangbana Old Town,,,25.0,,,35.0,2.0,1.0,2.0,0.0,1.0,1.0,13.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-13,Moyamba,Fakunya,Kunyafoi,Moconteh,,,18.0,,,13.0,2.0,2.0,2.0,0.0,2.0,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,Moyamba,Fakunya,Kunyafoi,Gbengbebu,,,30.0,,,45.0,2.0,2.0,2.0,0.0,2.0,2.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Moyamba,Fakunya,Gardorhun,Pelewahun,,,26.0,,,18.0,1.0,3.0,1.0,0.0,2.0,2.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Moyamba,Fakunya,Gardorhun,Moqornieuejah,,,19.0,,,14.0,2.0,1.0,1.0,0.0,1.0,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-13,Moyamba,Fakunya,Gardorhun,Bauya,,,22.0,,,23.0,2.0,1.0,2.0,0.0,1.0,1.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,Moyamba,Fakunya,Gardorhun,Gandorhun,,,30.0,,,20.0,3.0,2.0,4.0,3.0,1.0,2.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Moyamba,Fakunya,Todem Balenga,Molawunde,,,50.0,,,62.0,2.0,2.0,3.0,0.0,2.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Moyamba,Fakunya,Todem Balenga,Mosorie,,,20.0,,,15.0,2.0,2.0,2.0,0.0,3.0,0.0,15.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-13,Moyamba,Fakunya,Todem Balenga,Kpetemafonday,,,15.0,,,18.0,2.0,2.0,4.0,0.0,2.0,1.0,4.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,2.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0
2014-12-10,Moyamba,Fakunya,Todem Balenga,Gbahana Togbie,,,20.0,,,18.0,1.0,2.0,2.0,0.0,1.0,2.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Moyamba,Fakunya,Lungiii,Sembehun,,,15.0,,,14.0,2.0,2.0,1.0,0.0,3.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Moyamba,Fakunya,Lungiii,Bambuibu,,,30.0,,,20.0,3.0,4.0,2.0,0.0,3.0,0.0,5.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-13,Moyamba,Fakunya,Lungiii,Kovehun,,,20.0,,,14.0,2.0,3.0,2.0,0.0,4.0,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,Moyamba,Fakunya,Lungiii,Mojaka,,,40.0,,,30.0,2.0,3.0,2.0,0.0,3.0,0.0,4.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Moyamba,Fakunya,Mosoe,Lumbely,,,13.0,,,15.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Moyamba,Fakunya,Mosoe,Daru,,,35.0,,,40.0,1.0,1.0,1.0,0.0,1.0,1.0,13.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-13,Moyamba,Fakunya,Mosoe,Vaama ,,,20.0,,,12.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,Moyamba,Fakunya,Mosoe,Limba Coner,,,13.0,,,12.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Moyamba,Kori,Forbgo,Hendabu,,,40.0,,,25.0,4.0,2.0,2.0,1.0,1.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2014-12-12,Moyamba,Kori,Forbgo,Gbahama,,,15.0,,,15.0,3.0,3.0,2.0,0.0,4.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
